username;lotacao;valor;beneficiario;timestamp
ACOWL;AAVDJ;276130.82;78.065.047/1978-38;04/09/2025 03:49
ACOWL;AAVDJ;1244615.39;61.936.798/3968-15;18/09/2025 17:51
ACOWL;AAVDJ;1206607.44;05.569.670/5907-85;28/09/2025 14:42
ACOWL;AAVDJ;87070.81;07.685.626/8638-35;22/09/2025 09:17
ACOWL;AAVDJ;984377.07;66.433.756/0165-60;15/03/2025 20:42
ACOWL;AAVDJ;803233.81;78.065.047/1978-38;03/03/2025 02:14
ACOWL;AAVDJ;659024.12;58.808.146/7221-00;31/03/2025 17:01
ACOWL;AAVDJ;1384705.2;71.078.931/6105-79;06/06/2025 00:46
ACOWL;AAVDJ;1613810.55;78.065.047/1978-38;28/05/2025 18:53
ACOWL;AAVDJ;442722.78;38.287.337/1997-74;16/07/2025 12:01
ACOWL;AAVDJ;942522.74;65.481.915/2373-81;13/01/2025 21:29
ACOWL;AAVDJ;746783.27;99.062.003/5653-00;05/04/2025 06:17
ACOWL;AAVDJ;1051443.15;99.455.748/9781-62;10/09/2025 18:21
ACOWL;AAVDJ;742369.06;31.973.675/5576-50;16/04/2025 12:02
ACOWL;AAVDJ;1184957.0;61.936.798/3968-15;01/05/2025 17:11
ACOWL;AAVDJ;1590690.85;99.095.208/6131-09;16/06/2025 15:37
ACOWL;AAVDJ;1641893.34;44.637.227/5562-21;14/07/2025 04:31
ACOWL;AAVDJ;1780472.19;07.417.078/2965-00;25/08/2025 12:22
ACOWL;AAVDJ;1443777.02;51.147.249/7233-53;10/04/2025 22:32
ACOWL;AAVDJ;360390.57;61.931.102/8045-75;14/09/2025 01:38
ACOWL;AAVDJ;1235657.29;58.924.638/7770-55;06/03/2025 16:49
ACOWL;AAVDJ;1679005.59;47.768.754/5283-08;29/04/2025 23:08
ACOWL;AAVDJ;369026.74;07.046.850/4027-23;17/08/2025 03:55
ACOWL;AAVDJ;591932.3;12.663.157/1313-61;25/08/2025 04:25
ACOWL;AAVDJ;1971233.43;58.808.146/7221-00;20/09/2025 16:37
ACOWL;AAVDJ;1562144.89;40.627.975/4575-33;28/08/2025 09:42
ACOWL;AAVDJ;429066.17;45.025.767/7086-88;02/04/2025 12:20
ACOWL;AAVDJ;1790328.86;58.808.146/7221-00;17/08/2025 06:02
ACOWL;AAVDJ;276218.97;99.455.748/9781-62;27/09/2025 19:30
ACOWL;AAVDJ;1360036.52;46.328.066/5618-09;24/01/2025 21:21
ACOWL;AAVDJ;1726573.01;18.065.989/4309-47;14/05/2025 23:13
ACOWL;AAVDJ;477973.69;88.422.438/1001-62;15/05/2025 09:03
ACOWL;AAVDJ;1830049.96;36.912.871/3214-30;18/05/2025 17:58
ACOWL;AAVDJ;744747.11;38.287.337/1997-74;18/09/2025 01:51
ACOWL;AAVDJ;537217.47;89.952.851/3504-75;18/09/2025 08:41
ACOWL;AAVDJ;1764486.98;60.987.016/5363-20;20/09/2025 02:02
ACOWL;AAVDJ;235878.21;47.238.592/2640-48;13/02/2025 20:42
ACOWL;AAVDJ;78047.64;86.714.800/8947-86;05/01/2025 02:06
ACOWL;AAVDJ;258382.67;41.741.812/6115-65;07/02/2025 22:54
ACOWL;AAVDJ;175102.43;76.751.306/2140-28;25/06/2025 02:44
ACOWL;AAVDJ;1900771.91;45.025.767/7086-88;08/03/2025 23:28
ACOWL;AAVDJ;1697027.86;61.424.766/9258-41;07/05/2025 18:48
ACOWL;AAVDJ;758379.37;48.944.558/0824-50;19/03/2025 10:09
ACOWL;AAVDJ;888804.77;55.071.623/7387-90;11/08/2025 16:26
ACOWL;AAVDJ;1756334.82;99.246.053/8017-50;06/06/2025 02:00
ACOWL;AAVDJ;55159.6;86.714.800/8947-86;05/02/2025 12:31
ACOWL;AAVDJ;1430489.58;93.150.755/2346-50;16/06/2025 15:00
ACOWL;AAVDJ;1272283.17;48.944.558/0824-50;29/03/2025 01:58
ACOWL;AAVDJ;1411957.89;33.081.976/2579-86;12/01/2025 06:06
ACOWL;AAVDJ;111599.9;42.240.643/5265-10;08/01/2025 10:34
ACOWL;AAVDJ;9863.57;91.395.076/6982-80;24/06/2025 19:15
ACOWL;AAVDJ;920716.31;41.582.107/5676-44;25/02/2025 18:09
ACOWL;AAVDJ;1463901.32;64.643.239/0798-34;12/03/2025 01:39
ACOWL;AAVDJ;575866.87;48.944.558/0824-50;16/04/2025 00:09
ACOWL;AAVDJ;236255.08;45.025.767/7086-88;06/06/2025 06:24
ACOWL;AAVDJ;1088056.1;36.502.642/6527-10;03/04/2025 03:01
ACOWL;AAVDJ;1208183.82;54.500.293/7460-91;14/09/2025 19:58
ACOWL;AAVDJ;1331636.47;48.861.897/3000-54;10/02/2025 16:14
ACOWL;AAVDJ;871169.63;47.238.592/2640-48;10/06/2025 10:44
ACOWL;AAVDJ;392789.92;78.389.468/2930-23;15/07/2025 13:22
ACOWL;AAVDJ;965500.98;77.424.829/1641-73;29/09/2025 14:33
ACOWL;AAVDJ;190082.41;07.685.626/8638-35;14/04/2025 17:25
ACOWL;AAVDJ;1154319.77;28.612.855/1952-60;16/03/2025 01:33
ACOWL;AAVDJ;531812.79;60.611.200/5964-39;04/06/2025 18:26
ACOWL;AAVDJ;1824276.99;29.964.150/7654-70;18/08/2025 20:42
ACOWL;AAVDJ;525570.58;33.034.261/9912-00;13/07/2025 02:02
ACOWL;AAVDJ;173136.43;86.714.800/8947-86;28/08/2025 15:49
ACOWL;AAVDJ;1508609.27;69.870.023/8157-00;28/05/2025 14:39
ACOWL;AAVDJ;447082.66;62.590.801/9756-17;29/01/2025 16:08
ACOWL;AAVDJ;1663421.91;40.855.778/9898-24;08/09/2025 05:52
ACOWL;AAVDJ;98417.67;60.805.746/8241-56;10/02/2025 06:01
ACOWL;AAVDJ;317132.19;05.396.153/1097-19;30/03/2025 02:17
ACOWL;AAVDJ;1746149.12;84.205.610/3690-34;26/09/2025 15:20
ACOWL;AAVDJ;1234127.13;36.502.642/6527-10;25/08/2025 21:17
ACOWL;AAVDJ;1362557.55;18.033.033/7065-43;13/02/2025 14:42
ACOWL;AAVDJ;1025144.33;01.361.970/5402-95;22/04/2025 19:49
ACOWL;AAVDJ;1923836.83;07.848.583/8636-08;12/02/2025 13:29
ACOWL;AAVDJ;900690.81;99.852.288/4603-52;14/08/2025 21:26
ACOWL;AAVDJ;655831.59;02.419.822/1821-46;05/05/2025 14:16
ACOWL;AAVDJ;1178697.68;66.986.822/1837-78;27/02/2025 04:10
ACOWL;AAVDJ;1130450.05;40.855.778/9898-24;02/07/2025 09:39
ACOWL;AAVDJ;1185420.99;02.515.465/1260-40;13/09/2025 07:11
ACOWL;AAVDJ;987832.65;84.205.610/3690-34;02/07/2025 15:59
ACOWL;AAVDJ;1031519.1;88.393.097/2996-33;13/06/2025 19:18
ACOWL;AAVDJ;797713.5;76.663.239/3476-42;21/04/2025 19:29
ACOWL;AAVDJ;806253.87;22.363.392/2702-23;19/03/2025 11:58
ACOWL;AAVDJ;1225793.99;40.210.131/2355-06;06/03/2025 01:04
ACOWL;AAVDJ;437659.45;58.924.638/7770-55;23/07/2025 15:02
ACOWL;AAVDJ;1746951.81;41.741.812/6115-65;25/08/2025 06:42
ACOWL;AAVDJ;194373.71;09.933.610/6588-19;14/03/2025 05:19
ACOWL;AAVDJ;1330038.09;17.892.066/4704-42;20/08/2025 10:11
ACOWL;AAVDJ;226797.22;66.344.754/4179-14;21/02/2025 10:53
ACOWL;AAVDJ;1058016.33;60.529.426/1635-48;29/09/2025 19:27
ACOWL;AAVDJ;490945.42;60.805.746/8241-56;10/02/2025 20:01
ACOWL;AAVDJ;114142.8;89.636.743/5984-36;21/01/2025 09:12
ACOWL;AAVDJ;1379585.98;50.265.545/3341-44;23/04/2025 07:01
ACOWL;AAVDJ;219114.14;22.286.077/2310-07;22/01/2025 08:14
ACOWL;AAVDJ;1905571.53;54.500.293/7460-91;06/01/2025 22:05
ACOWL;AAVDJ;91883.71;98.363.814/0074-40;25/09/2025 17:27
ACOWL;AAVDJ;273199.45;01.688.417/9976-36;11/02/2025 16:40
ACOWL;AAVDJ;1757846.86;48.944.558/0824-50;15/06/2025 07:23
ACOWL;AAVDJ;894430.81;00.635.952/3587-36;27/03/2025 10:23
ACOWL;AAVDJ;1549218.71;02.419.822/1821-46;07/04/2025 18:44
ACOWL;AAVDJ;56054.55;78.186.553/7618-88;08/06/2025 22:50
ACOWL;AAVDJ;929409.73;66.986.822/1837-78;27/09/2025 00:11
ACOWL;AAVDJ;1317765.04;62.834.658/7517-12;02/02/2025 02:11
ACOWL;AAVDJ;755207.85;02.515.465/1260-40;29/03/2025 18:13
ACOWL;AAVDJ;1129905.96;78.260.014/4742-73;01/08/2025 09:50
ACOWL;AAVDJ;1761462.71;02.419.822/1821-46;26/02/2025 15:19
ACOWL;AAVDJ;477335.46;98.363.814/0074-40;19/03/2025 08:27
ACOWL;AAVDJ;1168952.9;04.806.112/6980-95;21/04/2025 15:48
ACOWL;AAVDJ;1556921.12;30.931.942/4784-45;20/06/2025 01:54
ACOWL;AAVDJ;759735.61;31.973.675/5576-50;31/07/2025 16:49
ACOWL;AAVDJ;443268.48;52.857.878/5550-11;15/01/2025 17:10
ACOWL;AAVDJ;229408.28;81.560.434/6041-67;17/01/2025 14:20
ACOWL;AAVDJ;875642.09;79.886.652/9576-59;19/02/2025 17:38
ACOWL;AAVDJ;1440885.48;17.729.268/9652-80;20/03/2025 17:38
ACOWL;AAVDJ;283697.46;41.741.812/6115-65;14/03/2025 18:21
ACOWL;AAVDJ;355848.16;67.125.797/5977-75;16/06/2025 08:38
ACOWL;AAVDJ;1837357.84;62.813.363/2917-42;03/04/2025 03:28
ACOWL;AAVDJ;921745.51;22.116.902/2374-81;07/09/2025 10:39
ACOWL;AAVDJ;1434434.92;69.564.017/2932-56;04/01/2025 19:40
ACOWL;AAVDJ;1470752.9;55.071.623/7387-90;13/02/2025 06:30
ACOWL;AAVDJ;27362.5;53.892.200/6063-97;27/08/2025 08:37
ACOWL;AAVDJ;1632280.81;51.147.249/7233-53;01/02/2025 05:57
ACOWL;AAVDJ;1585957.51;66.986.822/1837-78;12/05/2025 02:44
ACOWL;AAVDJ;139781.85;04.806.112/6980-95;03/09/2025 21:25
ACOWL;AAVDJ;1596584.04;29.964.150/7654-70;14/06/2025 06:34
ACOWL;AAVDJ;1381771.96;99.062.003/5653-00;29/03/2025 10:54
ACOWL;AAVDJ;663476.66;32.864.182/5209-96;26/06/2025 16:21
ACOWL;AAVDJ;1021068.62;67.357.563/9022-20;17/08/2025 01:26
ACOWL;AAVDJ;931601.98;50.321.619/0847-60;25/02/2025 10:56
ACOWL;AAVDJ;1806836.78;94.420.175/6829-36;25/07/2025 23:01
ACOWL;AAVDJ;758706.4;48.944.558/0824-50;06/04/2025 03:43
ACOWL;AAVDJ;186382.2;21.618.019/6951-31;21/02/2025 18:38
ACOWL;AAVDJ;122120.25;99.845.268/2978-52;29/04/2025 05:24
ACOWL;AAVDJ;637064.09;91.395.076/6982-80;28/01/2025 10:59
ACOWL;AAVDJ;1239407.21;34.748.855/7934-35;21/06/2025 09:54
ACOWL;AAVDJ;1827852.7;49.766.691/0928-12;17/02/2025 15:16
ACOWL;AAVDJ;1786153.74;27.521.450/4471-64;26/02/2025 14:34
ACOWL;AAVDJ;1615956.8;37.697.931/6129-96;04/08/2025 19:25
ACOWL;AAVDJ;1748677.23;78.186.553/7618-88;30/04/2025 04:42
ACOWL;AAVDJ;1803187.28;84.250.770/0143-02;10/02/2025 20:46
ACOWL;AAVDJ;1743935.4;59.868.363/5267-16;19/08/2025 12:02
ACOWL;AAVDJ;759844.22;88.393.097/2996-33;27/01/2025 16:55
ACOWL;AAVDJ;1998343.66;78.389.468/2930-23;25/02/2025 19:57
ACOWL;AAVDJ;1813389.55;66.344.754/4179-14;12/05/2025 12:43
ACOWL;AAVDJ;430568.01;67.125.797/5977-75;30/08/2025 08:55
ACOWL;AAVDJ;161803.49;64.562.616/3644-16;02/01/2025 10:21
ACOWL;AAVDJ;733487.81;66.895.153/6842-64;22/09/2025 02:03
ACOWL;AAVDJ;1793631.62;66.986.822/1837-78;29/08/2025 06:21
ACOWL;AAVDJ;1476970.62;99.246.053/8017-50;16/03/2025 19:57
ACOWL;AAVDJ;1370288.84;54.714.337/7021-19;01/08/2025 14:11
ACOWL;AAVDJ;1932769.73;27.279.429/5184-84;08/07/2025 12:34
ACOWL;AAVDJ;964064.44;11.578.768/1977-90;24/04/2025 00:54
ACOWL;AAVDJ;1157730.9;60.529.426/1635-48;09/08/2025 01:58
ACOWL;AAVDJ;727565.48;21.659.490/8552-05;09/01/2025 19:53
ACOWL;AAVDJ;1277047.39;02.102.269/9865-73;17/01/2025 09:38
ACOWL;AAVDJ;218793.78;50.746.516/9735-39;28/08/2025 22:03
ACOWL;AAVDJ;602522.04;62.834.658/7517-12;19/05/2025 05:56
ACOWL;AAVDJ;1669310.39;16.858.007/3461-31;22/01/2025 00:01
ACOWL;AAVDJ;523988.34;50.746.516/9735-39;15/08/2025 12:11
ACOWL;AAVDJ;171512.3;44.637.227/5562-21;02/01/2025 22:01
ACOWL;AAVDJ;1931513.96;66.344.754/4179-14;13/07/2025 16:51
ACOWL;AAVDJ;1670745.2;64.128.644/9088-96;06/09/2025 17:14
ACOWL;AAVDJ;1124817.53;38.119.097/1565-60;10/05/2025 21:40
ACOWL;AAVDJ;880753.49;77.424.829/1641-73;14/04/2025 12:42
ACOWL;AAVDJ;1531915.61;40.855.778/9898-24;01/09/2025 03:09
ACOWL;AAVDJ;1220661.35;08.473.755/8220-42;30/07/2025 06:15
ACOWL;AAVDJ;803947.96;99.845.268/2978-52;09/02/2025 14:28
ACOWL;AAVDJ;61463.47;31.973.675/5576-50;13/03/2025 03:30
ACOWL;AAVDJ;542292.9;40.210.131/2355-06;29/06/2025 11:38
ACOWL;AAVDJ;86442.88;21.618.019/6951-31;12/08/2025 03:58
ACOWL;AAVDJ;1265072.94;11.578.768/1977-90;06/08/2025 21:28
ACOWL;AAVDJ;1208584.9;29.166.611/7911-18;02/09/2025 10:55
ACOWL;AAVDJ;437861.73;02.515.465/1260-40;13/09/2025 10:03
ACOWL;AAVDJ;157353.24;51.147.249/7233-53;06/09/2025 21:47
ACOWL;AAVDJ;1219815.33;59.868.363/5267-16;27/09/2025 07:19
